no,date,event_name,client,location,type
34,2024.08.01~02,MEDIPHARM EXPO (AITrics: 환자상태악화예측AI),AITrics,"SECC전시회 (HCMC, D7)",전시회
35,2024.06.29~07.03,"법륜스님의 호치민시 답사 통역 (방문, 법담…)",정토회,"HCMC, DongNai사찰들",행사
36,2024.06.13~15,"KMED (Gieum Medi International: Hifu, Needle RF기 등..)",Gieum Medi International,"SECC전시회 (HCMC, D7)",전시회
37,2024.06.06~08,ICT-COMM (LightVision – AI 주차장),LightVision,"SECC전시회 (HCMC, D7)",전시회
38,2024.05.30~06.02,VIPREMIUM (나눔푸드 - 나누미홍삼),나눔푸드,"SECC전시회 (HCMC, D7)",전시회
39,2025.11.17~19,Koica 환경사업 촉진 (Ecohopia: 유기비료),"KOICA, Ecohopia",Ninh Thuan 폐시물처리장,B2B
40,2025.08.26~27,"업체방문 (SkinHealth Cosmetic: OEM, ODM)",SkinHealth Cosmetic,HCMC,B2B
41,2025.07.03~04,업체방문 (Ecohopia: 유기비료),Ecohopia,HCMC,B2B
42,2025.05.13,아세안 종합품목 무역사절단 (Ecohopia: 유기비료),"KOTRA, Ecohopia",Lotte Hotel (D1),B2B
43,2025.04.14,비료수입 관련 (남해화학 x Tuong Nguyen),남해화학,Zoom B2B 미팅,B2B
44,2025.02.19~20,한국화장품 교역 (IBITA x Vinexad),IBITA,Rex Hotel (D1),B2B
45,2024.11.14,인천 Tourism Night,인천시,Rex Hotel (D1),B2B
46,2024.10.17~18,K-Food 수출상담회 (농협홍삼: 한삼인),"aT, 농협홍삼",New World Hotel (D1),B2B
47,2024.08.27,K-Agro 수출상담회 (아미노랩: 식물영양제),"aT, 아미노랩",Lotte Hotel (D1),B2B
48,2024.07.24~25,"Chungbuk Biz Agency (Bio-interchange Co.,LTD)","충북비즈에이전시, Bio-interchange",Nikko Hotel (D1),B2B
49,2024.07.16,"ECO-FRIENDLY, ENERGY (Hankuk Carbon Co., Ltd)",한국카본,New World Hotel (D1),B2B
50,2024.06.14,EPECK-ELECTRIC POWER INDUSTRY EXPO Korea,EPECK,Zoom B2B 미팅,B2B
51,2020.11.26,여행 촉진 Zoom 통역 (냐짱 Global Open Tour),냐짱 Global Open Tour,Lotte Hotel (D1),B2B
52,2019.06.26,한국수산물 수출 상담회,수산물수출협회,New World Hotel (D1),B2B
53,2019.05.15,Korea-Asean Digital Content Business RoadShow,한국콘텐츠진흥원,Nikko Hotel (D1),B2B
54,2025.11.28~29,친선축구경기 개최 (FCTA-HCTAA),부산-호치민시 세무사회,,행사
55,2025.06.30,구치소면회 (마약),개인,T30 구치소 Cu Chi,법률통역
56,2025.05~09,구치소면회 (성매매),개인,T30 구치소 Cu Chi,법률통역
57,2025.02~07,"수사 통역 (구치소, 원심) (절도)",개인,Thu Duc 경찰청 / T30,법률통역
58,2024.08.21,"무역투자진흥센터, CityGame와 총영사관과의 회의",한국총영사관,Lotte Hotel (D1),회의
59,2024.08.05,Madison Group와 하나투어 여행사와의 여행촉진미팅,하나투어,Madison Group (D1),회의
60,2024.07.26,"무역투자진흥센터, CityGame와 총영사관과의 회의",한국총영사관,호치민 한국총영사관,회의
61,2024.07.12,일방적으로 계약해지에 대한 노동분쟁 합의 통역,개인,Thu Duc법원,법률통역
62,2024.07.08,BariaVungTau관광청과 총영사관과의 여행촉진미팅,한국총영사관,호치민 한국총영사관,회의
63,2017.10.19,수산물 해외바이어 초청 상담회,수산물수출협회,충남 보령,B2B
64,2017.09.25,국제한장바이오산업 엑스포,,제천,전시회
65,2017.09.21,GTI EXPO-국제무역투자 박람회,GTI,강원도-동해웰빙레포츠타운,전시회
